# BulTreeBank Wordnet (BTB-WN)	bul	http://www.bultreebank.org/	CC BY 3.0
06304671-n	bul:exe	1	затворена сричка
06304671-n	bul:exe	2	отворена сричка
06304671-n	bul:exe	3	ударена сричка
06304671-n	bul:lemma	сричка
06319293-n	bul:def	0	Част на речта, категория думи с неизменяем граматичен род, които означават конкретни или абстрактни същини, напр. дърво, птица, мисъл, полет.
06319293-n	bul:exe	0	Море е съществително име.
06319293-n	bul:exe	1	Съществителното име се мени по род и число.
06319293-n	bul:lemma	съществително име
06333653-n	bul:def	0	Дума, с която се обозначава, именува нещо или някой, за да се отличава от подобните му.
06333653-n	bul:exe	0	Как ти е името?
06333653-n	bul:exe	1	давам име на
06333653-n	bul:exe	2	две имена за едно и също нещо
06333653-n	bul:exe	3	име на улица
06333653-n	bul:exe	4	името му е
06333653-n	bul:exe	5	лично име
06333653-n	bul:exe	6	наименование на предмет
06333653-n	bul:exe	7	нося името на
06333653-n	bul:exe	8	собствено име
06333653-n	bul:exe	9	фамилно име
06333653-n	bul:lemma	име
06333653-n	bul:lemma	название
06333653-n	bul:lemma	наименование
06339416-n	bul:def	0	Почетно звание, което се поставя пред името на някого, за да обозначи едновременно почитание и официално отношение или професионална квалификация.
06339416-n	bul:exe	0	благородническа титла
06339416-n	bul:lemma	титла
06344461-n	bul:def	0	Име на статия във вестник, което се изписва в началото й.
06344461-n	bul:exe	0	Заглавието ме заинтригува.
06344461-n	bul:exe	1	Чета само заглавията във вестника.
06344461-n	bul:exe	2	дълго заглавие
06344461-n	bul:exe	3	кратко заглавие
06344461-n	bul:lemma	заглавие
06346461-n	bul:def	0	Име на книга, статия, музикално произведение и под., което се изписва в началото.
06346461-n	bul:exe	0	заглавие на книга
06346461-n	bul:lemma	заглавие
06346891-n	bul:def	0	Съвкупност от условни знаци и пояснения, разкриващи съдържанието на карта или план.
06346891-n	bul:lemma	легенда
06351613-n	bul:def	0	Съвкупност от писмени средства, писмо.
06351613-n	bul:lemma	азбука
06351613-n	bul:lemma	писменост
06355894-n	bul:def	0	(компютърни науки) Символичното подреждане на данни или команди в компютърна програма или съвкупност от знаци и система от правила за предаване, обработка и запазване на информация.
06355894-n	bul:exe	0	компютърен код
06355894-n	bul:lemma	код
06359193-n	bul:def	0	Място в интернет, на което има информация за различни неща.
06359193-n	bul:lemma	интернет сайт
06359193-n	bul:lemma	интернет страница
06359193-n	bul:lemma	сайт
06359193-n	bul:lemma	уебсайт
06359193-n	bul:lemma	уебстраница
06364641-n	bul:def	0	Писмено и печатно художествено словесно творчество.
06364641-n	bul:exe	0	българска литература
06364641-n	bul:exe	1	преводна литература
06364641-n	bul:exe	2	съвременна литература
06364641-n	bul:exe	3	художествена литература
06364641-n	bul:lemma	литература
06365808-n	bul:def	0	Препоръка, указание, съвет на лекар към аптеката относно провеждане на лечението, употребата и дозировката на лекарства.
06365808-n	bul:exe	0	Изпизаха ми рецепта с много лекарства.
06365808-n	bul:exe	1	Изписаха ме от болницата със строго предписание да си почивам повече.
06365808-n	bul:exe	2	без лекарско предписание
06365808-n	bul:exe	3	изпълнявам точно лекарските предписания
06365808-n	bul:exe	4	лекарско предписание
06365808-n	bul:lemma	предписание
06365808-n	bul:lemma	рецепта
06367107-n	bul:def	0	Художествена литература, написана в проза, в която въображението има по-важна роля, отколкото фактите от действителността.
06367107-n	bul:lemma	белетристика
06367879-n	bul:def	0	Голямо по обем художествено произведение (в проза), което описва живота в най-разнообразните му прояви и дава подробна характеристика на главните герои.
06367879-n	bul:exe	0	исторически роман
06367879-n	bul:exe	1	криминален роман
06367879-n	bul:exe	2	любовен роман
06367879-n	bul:exe	3	пиша роман
06367879-n	bul:exe	4	съвременен роман
06367879-n	bul:exe	5	чета роман
06367879-n	bul:lemma	роман
06371413-n	bul:def	0	Поетичен разказ за историческо събитие, което е идеализирано и включва фантастични моменти.
06371413-n	bul:lemma	легенда
06372680-n	bul:def	0	Старинно народно сказание за природни явления, богове и герои, отразяващо представите на древните народи за света.
06372680-n	bul:lemma	мит
06373314-n	bul:def	0	Поредица от събития, за които се разказва в един роман, пиеса, филм и под.
06373314-n	bul:lemma	сюжет
06373314-n	bul:lemma	фабула
06373513-n	bul:def	0	Поредица, съвкупност от взаимосвързани случки и събития в художествено литературно произведение, филм и под.
06373513-n	bul:exe	0	Действието в повестта се развива бавно.
06373513-n	bul:lemma	действие
06377442-n	bul:def	0	Късо поетично произведение в стихове, в мерена реч.
06377442-n	bul:exe	0	избрани стихотворения
06377442-n	bul:exe	1	любовно стихотворение
06377442-n	bul:exe	2	пиша стихотворение
06377442-n	bul:exe	3	рецитирам стихотворение
06377442-n	bul:exe	4	чета стихотворение
06377442-n	bul:lemma	стихотворение
06387980-n	bul:def	0	Произведение на речта, последователност от думи и изречения, построена по правилата на даден език и представляваща съобщение
06387980-n	bul:exe	0	Прочетох внимателно краткия текст, но нищо не разбрах.
06387980-n	bul:exe	1	Текстът се състоеше от хиляди думи.
06387980-n	bul:exe	10	чета текст
06387980-n	bul:exe	2	документален текст
06387980-n	bul:exe	3	оригинален текст
06387980-n	bul:exe	4	отпечатан текст
06387980-n	bul:exe	5	пиша текст
06387980-n	bul:exe	6	преглеждам текст
06387980-n	bul:exe	7	текст на песен
06387980-n	bul:exe	8	текст на телеграма
06387980-n	bul:exe	9	художествен текст
06387980-n	bul:lemma	текст
06389398-n	bul:def	0	Бяла, неизписана част по края на печатна или ръкописна страница.
06389398-n	bul:exe	0	Оставям широко поле.
06389398-n	bul:exe	1	книга с бележки по полето
06389398-n	bul:exe	2	отбелязвам в полето
06389398-n	bul:exe	3	пиша в полето
06389398-n	bul:lemma	поле
06390962-n	bul:def	0	Първоначален, груб и неокончателен вариант на текст, чертеж и под., който подлежи на поправка, редактиране и преписване на чисто.
06390962-n	bul:exe	0	пиша чернова
06390962-n	bul:lemma	чернова
06396142-n	bul:def	0	Обособена, относително самостоятелна част, дял от книга, съчинение.
06396142-n	bul:exe	0	Всяка вечер чета по една глава от книгата.
06396142-n	bul:exe	1	първа глава
06396142-n	bul:lemma	глава
06396930-n	bul:def	0	Начална, встъпителна част на книга, реч, разговор и др.
06396930-n	bul:exe	0	кратък увод
06396930-n	bul:exe	1	увод към
06396930-n	bul:lemma	увод
06398401-n	bul:def	0	Край, завършек, последната част на реч, думи, съобщение и под.
06398401-n	bul:exe	0	в заключение искам да кажа
06398401-n	bul:exe	1	в заключение ще кажа, че
06398401-n	bul:lemma	заключение
06398401-n	bul:lemma	извод
06399337-n	bul:def	0	Допълнително събран материал, който се прилага в края на книга.
06399337-n	bul:lemma	приложение
06399995-n	bul:def	0	Относително завършена в смислово отношение част от писмен текст, която започва на нов ред, обикновено с отстъп.
06399995-n	bul:exe	0	Прочети втория параграф на тази страница.
06399995-n	bul:lemma	абзац
06399995-n	bul:lemma	параграф
06400271-n	bul:def	0	Неголяма част от литературно или музикално произведение, отделена от цялото.
06400271-n	bul:exe	0	От речта са дадени само отделни пасажи.
06400271-n	bul:exe	1	Ще ти прочета само един интересен пасаж.
06400271-n	bul:exe	2	пасаж от
06400271-n	bul:lemma	откъс
06400271-n	bul:lemma	пасаж
06400510-n	bul:def	0	Неголяма част от литературно или музикално произведение, отделена от цялото.
06400510-n	bul:exe	0	на откъси
06400510-n	bul:exe	1	откъс от
06400510-n	bul:lemma	извадка
06400510-n	bul:lemma	откъс
06402031-n	bul:def	0	Книга, в която човек си записва по дни случките и преживяванията.
06402031-n	bul:exe	0	водя дневник
06402031-n	bul:lemma	дневник
06404582-n	bul:def	0	Собственоръчно написано име или знак за името, който обикновено съдържа инициалните букви.
06404582-n	bul:lemma	подпис
06406979-n	bul:def	0	Текст, написан от автора на ръка или на машина, който е даден за публикуване.
06406979-n	bul:exe	0	Занесох ръкописа в печатницата.
06406979-n	bul:lemma	ръкопис
06408779-n	bul:def	0	Изменение, пригаждане на едни жанр към друг, за да се приспособи за друга цел.
06408779-n	bul:exe	0	театрална адаптация на белетристично произведение
06408779-n	bul:exe	1	телевизионна адаптация на роман
06408779-n	bul:lemma	адаптация
06408779-n	bul:lemma	преработка
06409085-n	bul:def	0	Научно съчинение (дисертация), в което се защитава някакво твърдение или се доказва нещо.
06409085-n	bul:lemma	теза
06409290-n	bul:def	0	Кратко злободневно публицистично съчинение с изобличителен характер.
06409290-n	bul:exe	0	автор на памфлети
06409290-n	bul:lemma	памфлет
06409562-n	bul:def	0	Кратък жанр на прозата, представляващ съчетаване между философска, естетическа, критическа и публицистична проблематика в художествена форма и на подчертано индивидуална позиция на автора с непринудено образно и силно въздействащо изложение.
06409562-n	bul:lemma	есе
06409752-n	bul:def	0	Научно или художествено писмено произведение.
06409752-n	bul:lemma	есе
06409752-n	bul:lemma	съчинение
06410391-n	bul:def	0	Кратка критическа статия, която дава оценка за книга, театрално представление, концерт и др.
06410391-n	bul:exe	0	критична рецензия
06410391-n	bul:exe	1	положителна рецензия
06410391-n	bul:lemma	отзив
06410391-n	bul:lemma	рецензия
06410904-n	bul:def	0	Художествено или научно произведение, което е публикувано.
06410904-n	bul:exe	0	дебела книга
06410904-n	bul:exe	1	интересна книга
06410904-n	bul:exe	2	пиша книга
06410904-n	bul:exe	3	сатирична книга
06410904-n	bul:exe	4	скучна книга
06410904-n	bul:exe	5	хубава книга
06410904-n	bul:exe	6	чета книга
06410904-n	bul:lemma	книга
06413666-n	bul:def	0	Отделна книга от съчинение, издадено в няколко книги.
06413666-n	bul:exe	0	Липсва вторият том от съчиненията.
06413666-n	bul:exe	1	роман в два тома
06413666-n	bul:lemma	том
06413889-n	bul:def	0	Малка, подшита, неподвързана книга, посветена на актуални въпроси с временен характр (обикновено с полемично, агитационно или рекламно съдържание).
06413889-n	bul:lemma	брошура
06414372-n	bul:def	0	Книга по някой учебен предмет, подготвена за използване в училища, колежи и други учебни заведения.
06414372-n	bul:exe	0	уча по учебник
06414372-n	bul:exe	1	учебник за втори клас
06414372-n	bul:exe	2	учебник по
06414372-n	bul:lemma	учебник
06414849-n	bul:def	0	Труд, който запознава накратко и по-опростено с проблематиката, основните понятия и положения на някоя наука.
06414849-n	bul:exe	0	въведение в архитектурното проектиране
06414849-n	bul:exe	1	въведение в езикознанието
06414849-n	bul:lemma	въведение
06415419-n	bul:def	0	Малка тетрадка с бели страници за бележки, записки и др.
06415419-n	bul:exe	0	джобен бележник
06415419-n	bul:exe	1	записвам в бележника
06415419-n	bul:exe	2	малък бележник
06415419-n	bul:exe	3	пиша в бележник
06415419-n	bul:exe	4	преглеждам бележника си
06415419-n	bul:exe	5	прелиствам бележник
06415419-n	bul:lemma	бележник
06415419-n	bul:lemma	тефтер
06416206-n	bul:def	0	Книга, брошура със списък на книги, музейни предмети и пр., съставен по определен ред за улеснение при използването му.
06416206-n	bul:exe	0	автомобилен каталог
06416206-n	bul:exe	1	каталог на издателство
06416206-n	bul:lemma	каталог
06418901-n	bul:def	0	Книга, сборник с думи и изрази, подредени по азбучен ред или по друг начин и придружени с обяснения за тяхното произношение, граматични форми и значение, изтълкувани със средствата на същия език или преведени на чужд език.
06418901-n	bul:lemma	речник
06421685-n	bul:def	0	Книга, сборник с най-необходими данни в някоя област, който се използва често.
06421685-n	bul:lemma	наръчник
06422740-n	bul:def	0	Книга с основна информация или най-нужни сведения в дадена област.
06422740-n	bul:exe	0	кулинарен наръчник
06422740-n	bul:exe	1	наръчник за
06422740-n	bul:lemma	наръчник
06422740-n	bul:lemma	справочник
06423619-n	bul:def	0	Азбучен списък на имена и адреси.
06423619-n	bul:lemma	справочник
06426111-n	bul:def	0	Поредица от числа, подредени в определен ред, чрез набирането на които се обаждаме на определено лице или организация.
06426111-n	bul:exe	0	Имаш ли телефонен номер?
06426111-n	bul:exe	1	Кой е телефонният ти номер?
06426111-n	bul:exe	2	Ще запиша телефонния си номер.
06426111-n	bul:lemma	телефонен номер
06431740-n	bul:def	0	Свещената книга на християнството - сборник от древни текстове, канонизирани от религиозните традиции на юдаизма и християнството, включващи Стария и Новия завет.
06431740-n	bul:exe	0	Той често цитира Библията.
06431740-n	bul:exe	1	чета Библията
06431740-n	bul:lemma	Библия
06431740-n	bul:lemma	библия
06461609-n	bul:def	0	Основна свещена и единствена каноническа книга на мюсюлманите, за която се смята, че е създадена от Аллах, който говори чрез устата на своя пророк Мохамед.
06461609-n	bul:lemma	Коран
06467007-n	bul:def	0	Кратко изложение на основното в съдържанието на нещо казано или написано.
06467007-n	bul:exe	0	в резюме
06467007-n	bul:exe	1	правя резюме на
06467007-n	bul:exe	2	резюме от
06467007-n	bul:exe	3	резюме от реч
06467007-n	bul:lemma	резюме
06468951-n	bul:def	0	Схематично резюме на основните точки на аргумент или теория.
06468951-n	bul:lemma	конспект
06469223-n	bul:def	0	Общо заключение, общ извод по някаква тема, направен въз основа на частни случаи.
06469223-n	bul:exe	0	След дълги размисли достигнах до обобщение на проблема.
06469223-n	bul:exe	1	кратко обобщение
06469223-n	bul:exe	2	обобщение на
06469223-n	bul:exe	3	обобщение на събитие
06469223-n	bul:exe	4	обобщение от
06469223-n	bul:exe	5	обобщение от деня
06469223-n	bul:exe	6	правя обобщение
06469223-n	bul:exe	7	пълно обобщение
06469223-n	bul:exe	8	философско обобощение
06469223-n	bul:lemma	обобщение
06469377-n	bul:def	0	Кратко изложение, обобщение на основното, на същността в съдържанието на нещо казано или написано.
06469377-n	bul:exe	0	Резюмета от речите на конгреса.
06469377-n	bul:exe	1	кратко резюме
06469377-n	bul:exe	2	резюме на
06469377-n	bul:exe	3	резюме от
06469377-n	bul:lemma	резюме
06469694-n	bul:def	0	Кратък текст или изложение, изявление, в които се прави общ преглед, обща преценка на събития или проблеми от различен характер.
06469694-n	bul:exe	0	библиографски обзор
06469694-n	bul:exe	1	кратък обзор на
06469694-n	bul:exe	2	правя обзор на събитията
06469694-n	bul:lemma	обзор
06470073-n	bul:def	0	Официално съставено и издадено писмено свидетелство, с което юридически се удостоверява някакъв факт или право на нещо.
06470073-n	bul:exe	0	Необходими са следните документи.
06470073-n	bul:exe	1	документ за образование
06470073-n	bul:exe	2	истински документи
06470073-n	bul:exe	3	официален документ
06470073-n	bul:exe	4	оформям документ
06470073-n	bul:exe	5	подавам документи за
06470073-n	bul:exe	6	представям документите си
06470073-n	bul:exe	7	секретен документ
06470073-n	bul:exe	8	фалшиви документи
06470073-n	bul:lemma	документ
06470922-n	bul:def	0	Листче с имена на кандидати при тайно гласуване.
06470922-n	bul:exe	0	броя бюлетини
06470922-n	bul:exe	1	бяла бюлетина
06470922-n	bul:exe	2	избирателна бюлетина
06470922-n	bul:exe	3	недействителна бюлетина
06470922-n	bul:exe	4	пускам бюлетина
06470922-n	bul:lemma	бюлетина
06471345-n	bul:def	0	Писмен документ, с който се удостоверява, доказва нещо.
06471345-n	bul:exe	0	свидетелство за
06471345-n	bul:lemma	свидетелство
06471345-n	bul:lemma	сертификат
06471345-n	bul:lemma	уверение
06471345-n	bul:lemma	удостоверение
06471737-n	bul:def	0	Документ с важно обществено-политическо значение.
06471737-n	bul:exe	0	Международна харта за правата на човека.
06471737-n	bul:lemma	харта
06473168-n	bul:def	0	Изключителното право на автора да публикува и продава собственото си произведение (литературно, музикално или художествено).
06473168-n	bul:exe	0	договор за авторско право
06473168-n	bul:exe	1	закон за авторско право
06473168-n	bul:exe	2	притежавам авторски права за
06473168-n	bul:lemma	авторско право
06473563-n	bul:def	0	Образец за документ с отпечатани данни и указания за попълване.
06473563-n	bul:exe	0	бланка за попълване
06473563-n	bul:exe	1	попълвам формулар
06473563-n	bul:lemma	бланка
06473563-n	bul:lemma	формуляр
06474122-n	bul:def	0	Лист с въпроси за събиране на сведения.
06474122-n	bul:lemma	въпросник
06477371-n	bul:def	0	Документ, във вид на неголям правоъгълен къс плътна хартия, картон или пластмаса, който удостоверява самоличността на приносителя.
06477371-n	bul:exe	0	карта за библиотека
06477371-n	bul:exe	1	лична карта
06477371-n	bul:exe	2	показвам картата си
06477371-n	bul:lemma	лична карта
06481320-n	bul:def	0	Написани, записани в известен ред множество данни (имена на лица, предмети и др.).
06481320-n	bul:exe	0	избирателни списъци
06481320-n	bul:exe	1	изготвям списък
06481320-n	bul:exe	2	по списък
06481320-n	bul:exe	3	правя списък
06481320-n	bul:exe	4	списък на жителите
06481320-n	bul:exe	5	списък с имена
06481320-n	bul:exe	6	таен списък
06481320-n	bul:lemma	списък
06485261-n	bul:def	0	Въпроси, предвидени да бъдат разгледани на заседание, сесия, конгрес.
06485261-n	bul:exe	0	Председателят изнесе дневния ред на заседанието.
06485261-n	bul:lemma	дневен ред
06490173-n	bul:def	0	Събрани и подредени сведения и документи за дадено лице или въпрос.
06490173-n	bul:exe	0	Имам досие в полицията.
06490173-n	bul:exe	1	изготвям досие
06490173-n	bul:exe	2	полицейски досиета
06490173-n	bul:exe	3	тайно досие
06490173-n	bul:lemma	досие
06491786-n	bul:def	0	Показалец, списък на имена, названия, цени и т.н.
06491786-n	bul:exe	0	индекс на цените
06491786-n	bul:lemma	индекс
06492188-n	bul:def	0	Условна система от букви, цифри и под., въз основа на която е построен начинът за прочитане на даден шифрован текст.
06492188-n	bul:exe	0	Трябва да занеса ключа на шифъра.
06492188-n	bul:lemma	ключ
06492939-n	bul:def	0	Списък на ястия, предлагани в ресторант, стол и под.
06492939-n	bul:exe	0	В менюто са включени и рибни деликатеси.
06492939-n	bul:exe	1	Какво е днешното меню?
06492939-n	bul:exe	2	Менюто е на френски език.
06492939-n	bul:exe	3	Моля, подайте ми менюто.
06492939-n	bul:exe	4	богато меню
06492939-n	bul:exe	5	обедно меню
06492939-n	bul:exe	6	разнообразно меню
06492939-n	bul:lemma	меню
06493392-n	bul:def	0	(компютърни науки) Списък на услугите, които се предлагат на потребителя.
06493392-n	bul:lemma	меню
06495000-n	bul:def	0	Написани, записани в известен ред имена на лица, предмети и др.
06495000-n	bul:exe	0	Списък на жителите.
06495000-n	bul:lemma	списък
06495328-n	bul:def	0	Предварително обмислен в подробности начин и ред за извършване на някоя работа, дейност.
06495328-n	bul:lemma	план
06495328-n	bul:lemma	програма
06495328-n	bul:lemma	разписание
06496397-n	bul:def	0	Предварително определен и обявен списък с точно време за пристигане и тръгване на обществен транспорт (автобуси, самолети, влакове).
06496397-n	bul:exe	0	Рейсовете изостават от разписанието.
06496397-n	bul:exe	1	по разписание
06496397-n	bul:lemma	график
06496397-n	bul:lemma	разписание
06500937-n	bul:def	0	Документ, издаден от страна на гражданин, който позволява на това лице да пътува в чужбина и да влезе отново в родината.
06500937-n	bul:exe	0	без паспорт
06500937-n	bul:exe	1	изваждам си паспорт
06500937-n	bul:exe	2	имам паспорт
06500937-n	bul:exe	3	международен паспорт
06500937-n	bul:exe	4	невалиден паспорт
06500937-n	bul:exe	5	получавам паспорт
06500937-n	bul:exe	6	фалшив паспорт
06500937-n	bul:lemma	паспорт
06501141-n	bul:def	0	Защитен документ, който се издава от компетентен държавен орган за удостоверяване на авторството за изобретение и на изключителното право на притежателя му върху производството, използването или продажбата на неговото изобретение.
06501141-n	bul:exe	0	взимам патент за
06501141-n	bul:exe	1	имам патнет за
06501141-n	bul:exe	2	патент за
06501141-n	bul:exe	3	притежавам патент за
06501141-n	bul:lemma	патент
06506191-n	bul:def	0	Листче, върху което е записано кратко съобщение.
06506191-n	bul:exe	0	От нея получих бележка, че ще дойде.
06506191-n	bul:exe	1	пиша бележка
06506191-n	bul:exe	2	чета бележка
06506191-n	bul:lemma	бележка
06506191-n	bul:lemma	записка
06507041-n	bul:def	0	Официален писмен указател, списък с имена, данни за събития, сделки и под.
06507041-n	bul:exe	0	в регистъра
06507041-n	bul:exe	1	регистър на жилищни имоти
06507041-n	bul:exe	2	търговски регистър
06507041-n	bul:lemma	регистър
06508816-n	bul:def	0	Събрани и подредени сведения и документи за дадено лице или въпрос, които имат поверителен, понякога компроментиращ или отчетен характер.
06508816-n	bul:exe	0	изготвям досие
06508816-n	bul:exe	1	имам досие
06508816-n	bul:exe	2	полицейски досиета
06508816-n	bul:exe	3	съставяв досие
06508816-n	bul:lemma	досие
06508816-n	bul:lemma	картотека
06511560-n	bul:def	0	Официален документ, с който се предизвестява за напускане на определена работа, служба, длъжност.
06511560-n	bul:lemma	оставка
06512580-n	bul:def	0	Обръщение (обикновено писмено) към учреждение, държавен, административен или друг орган с искане да се задоволи някаква нужда или желание.
06512580-n	bul:exe	0	Крайният скрок за подаване на молбата е
06512580-n	bul:exe	1	молба от
06512580-n	bul:exe	2	отхвърлям молба
06512580-n	bul:exe	3	подавам молба до
06512580-n	bul:exe	4	подавам молба за
06512580-n	bul:exe	5	приемам молба
06512580-n	bul:lemma	заявка
06512580-n	bul:lemma	заявление
06512580-n	bul:lemma	молба
06513366-n	bul:def	0	Писмено обръщение към учреждение, държавен, административен или друг орган с искане да се задоволи някаква нужда или желание.
06513366-n	bul:exe	0	искова молба
06513366-n	bul:exe	1	отхвърлям молба
06513366-n	bul:exe	2	подавам молба в
06513366-n	bul:exe	3	подавам молба до
06513366-n	bul:exe	4	подавам молба за
06513366-n	bul:exe	5	приемам молба
06513366-n	bul:lemma	заявление
06513366-n	bul:lemma	молба
06513764-n	bul:def	0	Обръщение към обществеността за съдействие, помощ или подкрепа в името на някаква кауза.
06513764-n	bul:exe	0	Апел за набиране на средства за гладуващите деца.
06513764-n	bul:exe	1	апел за помощ
06513764-n	bul:exe	2	отзовавам се на апела
06513764-n	bul:exe	3	отправям апел към народа
06513764-n	bul:lemma	апел
06513764-n	bul:lemma	зов
06513764-n	bul:lemma	призив
06514093-n	bul:def	0	Запис на описания на отминали събития.
06514093-n	bul:lemma	история
06514093-n	bul:lemma	разказ
06515827-n	bul:def	0	Описание на живота и дейността на дадена личност.
06515827-n	bul:exe	0	пиша биография за
06515827-n	bul:exe	1	романизирана биография
06515827-n	bul:lemma	биография
06516595-n	bul:def	0	Документ, който отразява съотношението между приходи и разходи.
06516595-n	bul:exe	0	Веднъж в годината правехме баланс, за да разберем какви са печалбите и загубите.
06516595-n	bul:exe	1	активен баланс
06516595-n	bul:exe	2	бюджетен баланс
06516595-n	bul:exe	3	годишен баланс
06516595-n	bul:exe	4	общ баланс
06516595-n	bul:exe	5	платежен баланс
06516595-n	bul:exe	6	счетоводен баланс
06516595-n	bul:exe	7	търговски баланс
06516595-n	bul:lemma	баланс
06517942-n	bul:def	0	Сума, която някой дължи, трябва да заплати за получена стока, услуга и др.
06517942-n	bul:exe	0	Колко е сметката?
06517942-n	bul:exe	1	Сметката ни в ресторанта излезе доста голяма.
06517942-n	bul:exe	2	Сметката, ако обичате!
06517942-n	bul:exe	3	плащам сметка
06517942-n	bul:exe	4	сметка за вода
06517942-n	bul:exe	5	сметка за ток
06517942-n	bul:lemma	сметка
06518068-n	bul:def	0	Документ, който може да се използва вместо плащане.
06518068-n	bul:lemma	ваучер
06518719-n	bul:def	0	Малко листче или картонче, което се дава срещу заплащане, за да се удостовери правото на вход, за пътуване с превозно средство, да се получи нещо и др.
06518719-n	bul:exe	0	билет в една посока
06518719-n	bul:exe	1	билет за кино
06518719-n	bul:exe	2	билет за отиване и връщане
06518719-n	bul:exe	3	гише за билети
06518719-n	bul:exe	4	купувам билет
06518719-n	bul:exe	5	лотариен билет
06518719-n	bul:exe	6	перфорирам билет
06518719-n	bul:exe	7	пътник без билет
06518719-n	bul:exe	8	самолетен билет
06518719-n	bul:exe	9	трамваен билет
06518719-n	bul:lemma	билет
06520222-n	bul:def	0	Официална бележка, която удостоверява, че е извършено плащане.
06520222-n	bul:lemma	касова бележка
06520222-n	bul:lemma	квитанция
06520222-n	bul:lemma	разписка
06520944-n	bul:def	0	Постигнато съгласие, писмено или устно формално споразумение за взаимоотношенията между две или повече страни, за правата и задълженията им.
06520944-n	bul:exe	0	брачен договор
06520944-n	bul:exe	1	временен договор
06520944-n	bul:exe	10	постоянен договор
06520944-n	bul:exe	11	развалям договор
06520944-n	bul:exe	12	сключвам договор
06520944-n	bul:exe	13	съгласно договора
06520944-n	bul:exe	14	трудов договор
06520944-n	bul:exe	2	граждански договор
06520944-n	bul:exe	3	договор за
06520944-n	bul:exe	4	договор за ненападение
06520944-n	bul:exe	5	задължен съм по договора да
06520944-n	bul:exe	6	международен договор
06520944-n	bul:exe	7	мирен договор
06520944-n	bul:exe	8	по договора
06520944-n	bul:exe	9	подписвам договор
06520944-n	bul:lemma	договор
06523132-n	bul:def	0	Договор, чрез който наемателят плаща на собственика, обикновено периодично за временно ползване на нещо.
06523132-n	bul:lemma	аренда
06523132-n	bul:lemma	наем
06523641-n	bul:def	0	Формена разписка за получена сума, кредитен документ, с който човек се задължава да изплати дадена сума в определен срок.
06523641-n	bul:exe	0	дългосрочна полица
06523641-n	bul:exe	1	застрахователна полица
06523641-n	bul:exe	2	краткосрочна полица
06523641-n	bul:exe	3	падеж на полица
06523641-n	bul:exe	4	фиктивна полица
06523641-n	bul:lemma	полица
06526291-n	bul:def	0	Участие в някаква дейност заедно с друг, като партньор.
06526291-n	bul:lemma	партньорство
06526291-n	bul:lemma	сдружение
06526291-n	bul:lemma	съдружие
06528783-n	bul:def	0	Документ с официален характер, посредством който се оценява стойността на задължения към държавата, например осигуряване, данъчно облагане и др.
06528783-n	bul:exe	0	декларация за данъчно облагане
06528783-n	bul:exe	1	декларация за здравно осигуряване
06528783-n	bul:lemma	декларация
06533648-n	bul:def	0	Основен закон на държавата, който определя нейното обществено и държавно устройство, избирателната система, правата и задълженията на гражданите.
06533648-n	bul:exe	0	приемам нова конституция
06533648-n	bul:exe	1	промени в конституцията
06533648-n	bul:exe	2	спазвам конституцията
06533648-n	bul:lemma	конституция
06539770-n	bul:def	0	Решение на административен или съдебен орган.
06539770-n	bul:exe	0	връчвам заповед
06539770-n	bul:exe	1	заповед за арест
06539770-n	bul:exe	2	наказтелна заповед
06539770-n	bul:exe	3	съдебна заповед
06539770-n	bul:lemma	заповед
06539770-n	bul:lemma	постановление
06539770-n	bul:lemma	указ
06542047-n	bul:def	0	Заповед, нареждане нещо да не се върши, отсъствие на позволение за извършване на нещо.
06542047-n	bul:exe	0	Съществува забрана да се използва детският труд.
06542047-n	bul:exe	1	вдигам забраната
06542047-n	bul:exe	2	забрана за
06542047-n	bul:exe	3	забрана на
06542047-n	bul:exe	4	категорична забрана
06542047-n	bul:exe	5	налагам забрана върху
06542047-n	bul:exe	6	нарушавам забрана
06542047-n	bul:exe	7	под забрана
06542047-n	bul:exe	8	престъпвам забрана
06542047-n	bul:exe	9	снемам забраната
06542047-n	bul:lemma	забрана
06544142-n	bul:def	0	Документ, с който някой определя желанието си как да се постъпи с имуществото му след неговата смърт.
06544142-n	bul:exe	0	написвам завещанието си
06544142-n	bul:exe	1	отварям завещание
06544142-n	bul:exe	2	правя завещание
06544142-n	bul:lemma	завещание
06545137-n	bul:def	0	Официален документ, издаден от съдия, нотариус, който удостоверява законно право на собственост върху недвижим имот.
06545137-n	bul:exe	0	нотариален акт за къща
06545137-n	bul:lemma	нотариален акт
06547059-n	bul:def	0	Официално разрешение от съда за получаване на достъп до частен имот, обиск и др. от органите на реда.
06547059-n	bul:lemma	заповед
06548671-n	bul:def	0	Документ, въз основа на който се облагат данъците на физически лица.
06548671-n	bul:lemma	данъчна декларация
06549661-n	bul:def	0	Право, разрешение да се използва патентовано изобретение или производство.
06549661-n	bul:exe	0	давам лиценз на
06549661-n	bul:exe	1	имам лиценз
06549661-n	bul:exe	2	лиценз за
06549661-n	bul:exe	3	патентен лиценз
06549661-n	bul:lemma	лиценз
06551784-n	bul:def	0	Юридически документ, в който се посочва решението на съда по дадено дело и причините за това решение.
06551784-n	bul:exe	0	доживотна присъда
06551784-n	bul:exe	1	издавам присъда
06551784-n	bul:exe	2	лека присъда
06551784-n	bul:exe	3	оправдателна присъда
